artist,,youtube_link
Chicano Batman,,"https://www.youtube.com/watch?v=3sOXiL05VSY, https://www.youtube.com/watch?v=Sn89CRaW6H0, https://www.youtube.com/watch?v=fsmwWjU_Xaw"
Brownout,,"https://www.youtube.com/watch?v=7jDdbPQs9JU, https://www.youtube.com/watch?v=wa5sk7CPr0s, https://www.youtube.com/watch?v=z1c2y-Vd3FA"
Grupo Fantasma,,"https://www.youtube.com/watch?v=2pI8HBMayVw, https://www.youtube.com/watch?v=nDfNIxzD2v0, https://www.youtube.com/watch?v=1AjAj6uVoNE"
Los Amigos Invisibles,,"https://www.youtube.com/watch?v=kt5q-Qqatns, https://www.youtube.com/watch?v=qj0qLYt98Dw, https://www.youtube.com/watch?v=OCM2pNdgzsc"
Caldera,,"https://www.youtube.com/watch?v=U4H1tX2A-6o, https://www.youtube.com/watch?v=QINJRlKwOXo, https://www.youtube.com/watch?v=oeiMdP5gino"
Banda Black Rio,,"https://www.youtube.com/watch?v=fTKGvsSDlaw, https://www.youtube.com/watch?v=bWTkyKq2n-w, https://www.youtube.com/watch?v=W7eY8rNM6nU"
Robson Jorge & Lincoln Olivetti,,"https://www.youtube.com/watch?v=GqXI74UZkBk, https://www.youtube.com/watch?v=jQSB5P2NTwQ, https://www.youtube.com/watch?v=APHbd1lvWUA"
Marcos Valle,,"https://www.youtube.com/watch?v=r7oAAUsKssE, https://www.youtube.com/watch?v=ndhIbeIp9_M, https://www.youtube.com/watch?v=0OSHbfQxeyU"
Illya Kuryaki & the Valderramas,,"https://www.youtube.com/watch?v=nNLi3lDKOQA, https://www.youtube.com/watch?v=u7xzuadBSwo, https://www.youtube.com/watch?v=x5uHX8uQK54"
Azymuth,,"https://www.youtube.com/watch?v=3_2Gg_Icbns, https://www.youtube.com/watch?v=vE8ONzyztYk, https://www.youtube.com/watch?v=W2dx_SO_lS0"
Chancho En Piedra,,"https://www.youtube.com/watch?v=V8IpbW4xG3A, https://www.youtube.com/watch?v=pm1ngzBUq-M, https://www.youtube.com/watch?v=HP9VPmqPBnM"
La Garfield,,"https://www.youtube.com/watch?v=a9gngggur4k, https://www.youtube.com/watch?v=CS4PncBFt6o, https://www.youtube.com/watch?v=N1etgnGIN5U"
Rawayana,,"https://www.youtube.com/watch?v=zCLK89kWHxc, https://www.youtube.com/watch?v=pMF6Agux_Sg, https://www.youtube.com/watch?v=ASWXB7seEj0"
Molotov,,"https://www.youtube.com/watch?v=8iJMOBcPQyg, https://www.youtube.com/watch?v=-gBcW2pRDnE, https://www.youtube.com/watch?v=CzEbm7yup7g"
Los Tetas,,"https://www.youtube.com/watch?v=28WdtLHF2nM, https://www.youtube.com/watch?v=RabYZGdK34A, https://www.youtube.com/watch?v=ty9ASRMUNEI"
Surfistas Del Sistema,,"https://www.youtube.com/watch?v=C7jMYr-ycPs, https://www.youtube.com/watch?v=VWqWUctfHa4, https://www.youtube.com/watch?v=kx67eGlqYbM"
Jonaz,,"https://www.youtube.com/watch?v=nAS9mtDlV-c, https://www.youtube.com/watch?v=I7TGcvHi9vI, https://www.youtube.com/watch?v=VdLm2oI945U"
A Band Of Bitches,,"https://www.youtube.com/watch?v=08egAx77kRM, https://www.youtube.com/watch?v=0G0zIGvw8jg, https://www.youtube.com/watch?v=pCVxLh1Ode4"
Plastilina Mosh,,"https://www.youtube.com/watch?v=PN0u3mzAwj8, https://www.youtube.com/watch?v=bojBxTg6Z-g, https://www.youtube.com/watch?v=zE7woxcB35s"