"title", Jesus Pagan "artist"
Aguajera, Jesus Pagan
CONTIGO, Jesus Pagan
Casi Siempre, Jesus Pagan
Cerca de Ti, Jesus Pagan
DIA DE BODA, Jesus Pagan
ESTA CARTA, Jesus Pagan
El Yaco, Jesus Pagan
Ella hablaba de mi, Jesus Pagan
En Puertorro SE Goza Mas, Jesus Pagan
Entre Lagrimas Del Cielo, Jesus Pagan
La Rumba, Jesus Pagan
MAGNA CUM LAUDE, Jesus Pagan
Mi  San Valentin, Jesus Pagan
Ritmo Sabroso, Jesus Pagan
SALSA_DE_LA_MATA, Jesus Pagan
Son Asuntos, Jesus Pagan
Te Amo Tanto, Jesus Pagan
Tengo Que Regresar, Jesus Pagan
Tributo A La Salsa De Ayer, Jesus Pagan
UN REGALO ESPECIAL, Jesus Pagan