song title,artist,youtube_link
Aeroplane, Red Hot Chilli Peppers,https://www.youtube.com/watch?v=vV8IAOojoAA
After Midnight, Eric Clapton,https://www.youtube.com/watch?v=xuSGQPj6OAA
All The Smal Things, Blink 182,https://www.youtube.com/watch?v=9Ht5RZpzPqw
Along The Watch Tower, Bob Dylan,https://www.youtube.com/watch?v=bT7Hj-ea0VE
American Girl, Tom Petty,https://www.youtube.com/watch?v=8v8-RSyuUeE
Any Way You Want It, Journey,https://www.youtube.com/watch?v=mmasR6_1lBo
Are You Gonna Go My Way, Lenny Kravits,https://www.youtube.com/watch?v=8LhCd1W2V0Q
Beautiful Day, U2,https://www.youtube.com/watch?v=co6WMzDOh1o
Better Together, Jack Johnson,https://www.youtube.com/watch?v=RfoqELZWcp8
Black Horse And Cherry Tree, K.T. Tunstall,No link found
Black Magic Woman, Santana,No link found
Blister In The Sun, Violent Femmes,https://www.youtube.com/watch?v=JE-dqW4uBEE
Blue On Black, Kenny Wayne Sheapard,No link found
Blue Suede Shoes, Elvis Presley,https://www.youtube.com/watch?v=FpdZzVhAZUU
Born To Run, Bruce Springsteen,https://www.youtube.com/watch?v=IxuThNgl3YA
Brown Eyed Girl, Van Morrison,No link found
Brown Sugar, Rolling Stones,No link found
Casey Jones, Grateful Dead,No link found
Cocaine, Eric Clapton,No link found
Cold Shot, Stevie Ray Vaughn,No link found
Crazy Little Thing Called Love, Queen,No link found
Crossroads, Cream,No link found
Cumbersome, Seven Mary Three,No link found
Dancing In The Dark, Bruce Springsteen,No link found
Don’t Stop, Fleetwood Mac,No link found
Don't Stop Believing, Journey,No link found
Don’t You Forget About Me, Simple Minds,No link found
Don't Be Cruel, Elvis Presley,No link found
Evil Ways, Santana,No link found
Faith, George Michael,No link found
Feelin’ All Right, Joe Cocker,No link found
Found Out About You, Gin Blossoms,No link found
Give Me One Reason, Tracy Chapman,No link found
Good Golly Miss Molly, Little Richard,No link found
Hard To Handle, Black Crowes,No link found
Hit Me With Your Best Shot, Pat Benatar,No link found
Honky Tonk Woman, Rolling Stones,No link found
Hound Dog, Elvis Presley,No link found
I Belive In A Thing Called Love, The Darkness,No link found
I Love Rock And Roll, Joan Jett,No link found
Saw Her Standing There, The Beatles,No link found
Semi Charmed Life, Third Eye Blind ,No link found
Stacy's Mom, Fountains Of Wayne,No link found
I’m Just A Girl, No Doubt,No link found
Jenny, Tommy Tutone,No link found
Jessie’s Girl, Rick Springfield,No link found
Johnny Be Good, Chuck Berry,No link found
Just Like Heaven, The Cure,No link found
Knockin’ On Heaven’s Door, Bob Dylan,No link found
La Bamba, Los Lobos,No link found
La Grange, Z.Z. Top,No link found
Laid, James,No link found
Little Wing, Jimi Hendrix,No link found
Livin’ On A Prayer, Bon Jovi,No link found
Love Song, The Cure,No link found
Low Rider, War,No link found
Message In A Bottle, Police,No link found
Mr. Brownstone, Guns And Roses,No link found
Mr. Brightside, The Killers,No link found
My Own Worst Enemy, Lit,No link found
Need You Tonight, INXS,No link found
Nothing But A Good Time, Poison,No link found
Old Time Rock And Roll, Bob Seeger,No link found
Plush, Stone Temple Pilots,No link found
Pour Some Sugar On Me, Def Leopard,No link found
Power Of Love, Huey Lewis,No link found
Pride And Joy, Stevie Ray Vaughn,No link found
Rebel Yell, Billy Idol,No link found
Red House, Jimi Hendrix,No link found
Remedy, Black Crowes,No link found
Roadhouse Blues, The Doors,No link found
Rock And Roll, Led Zeppelin,No link found
Rockin’ In The Free World, Neil Young,No link found
Roll Over Beethoven, Chuck Berry,No link found
Satisfaction, The Rolling Stones,No link found
Save Tonight, Eagle Eye Cherry,No link found
Shipping Up To Boston, Dropkick Murphys,No link found
Should I Stay Or Should I Go, Clash,No link found
Simple Man, Lynard Skynard,No link found
So What, Pink,No link found
Some Kind Of Wonderful, Grand Funk Railroad,No link found
Start Me Up, Rolling Stones,No link found
Stone In Love, Journey,No link found
Sugar Sugar, The Archies,No link found
Sugar We're Going Down, Fall Out Boy,No link found
Sweet Caroline, Neil Diamond,No link found
Sweet Child Of Mine, Guns’N’Roses,No link found
Sweet Emotion, Aerosmith,No link found
Sweet Home Alabama, Lynyrd Skynyrd,No link found
Sympathy For The Devil, Rolling Stones,No link found
The Joker, Steve Miller,No link found
The Middle, Jimmy Eat World,No link found
The One I Love, R.E.M,No link found
The Twist, Chubby Checker,No link found
This Love, Maroon 5,No link found
Tutti Frutti, Little Richard,No link found
Twist And Shout, Beatles,No link found
Use Somebody,  Kings Of Leon,No link found
Vehicle, Ides Of March,No link found
Walkin’ On Sunshine, Katrina & The Waves,No link found
What I Like About You, Romantics,No link found
What's Up, 4 Non Blondes,No link found
When I Come Around, Green Day,No link found
Whole Lotta Shakin’, Jerry Lee Lewis,No link found
Wild Nights, Van Morrison,No link found
Wish You Were Here, Pink Floyd,No link found
You Can’t Always Get What You Want, The Rolling Stones,No link found
You Make My Dreams, Hall And Oates,No link found
You Shook Me All Night Long, Ac/Dc,No link found
Your Love, Outfield,No link found